"","ID","Sessio","jarkyttynyt","valpas","peloissaan","surullinen","inspiroitunut","vihamielinen","paattavainen","liikuttunut","hapeissaan","tarkkaavainen","hermostunut","aktiivinen","rentoutunut","ahdistunut","Condition","pos","neg","Empathy","sad","anxious","relaxed","moved","pleasantness"
"1","50001",1,1,4,1,1,1,1,1,1,1,4,2,2,4,1,"Baseline",2.42857142857143,1.14285714285714,"HIGH",73.728813559322,77.1186440677966,46.6101694915254,75.4237288135593,72.8813559322034
"2","50001",2,1,3,1,1,1,1,1,1,1,3,1,1,4,1,"Silence",2,1,"HIGH",73.728813559322,77.1186440677966,46.6101694915254,75.4237288135593,72.8813559322034
"3","50001",3,1,3,1,2,2,1,1,4,1,2,1,3,4,2,"Music",2.71428571428571,1.28571428571429,"HIGH",73.728813559322,77.1186440677966,46.6101694915254,75.4237288135593,72.8813559322034
"4","50002",1,1,3,1,1,2,1,3,1,1,3,2,3,2,1,"Baseline",2.42857142857143,1.14285714285714,"HIGH",81.3559322033898,71.1864406779661,92.3728813559322,83.0508474576271,94.0677966101695
"5","50002",2,1,2,1,1,1,1,3,1,1,2,1,1,3,1,"Silence",1.85714285714286,1,"HIGH",81.3559322033898,71.1864406779661,92.3728813559322,83.0508474576271,94.0677966101695
"6","50002",3,1,2,1,2,4,1,3,4,1,2,2,1,5,3,"Music",3,1.57142857142857,"HIGH",81.3559322033898,71.1864406779661,92.3728813559322,83.0508474576271,94.0677966101695
"7","50003",1,1,3,1,1,3,1,3,1,1,3,1,2,4,1,"Baseline",2.71428571428571,1,"HIGH",60.1694915254237,6.77966101694915,61.864406779661,70.3389830508475,72.8813559322034
"8","50003",2,1,2,1,1,2,1,2,1,1,2,1,2,5,1,"Silence",2.28571428571429,1,"HIGH",60.1694915254237,6.77966101694915,61.864406779661,70.3389830508475,72.8813559322034
"9","50003",3,1,2,1,2,1,1,1,2,1,1,1,1,4,1,"Music",1.71428571428571,1.14285714285714,"HIGH",60.1694915254237,6.77966101694915,61.864406779661,70.3389830508475,72.8813559322034
"10","50004",1,1,4,1,1,1,1,1,1,1,4,2,1,2,1,"Baseline",2,1.14285714285714,"LOW",86.4406779661017,78.8135593220339,33.0508474576271,45.7627118644068,56.7796610169491
"11","50004",2,1,3,1,1,1,1,1,1,1,3,2,1,2,1,"Silence",1.71428571428571,1.14285714285714,"LOW",86.4406779661017,78.8135593220339,33.0508474576271,45.7627118644068,56.7796610169491
"12","50004",3,1,3,1,3,2,1,1,2,1,3,1,2,2,2,"Music",2.14285714285714,1.42857142857143,"LOW",86.4406779661017,78.8135593220339,33.0508474576271,45.7627118644068,56.7796610169491
"13","50006",1,1,4,1,1,3,1,3,1,1,4,1,4,4,1,"Baseline",3.28571428571429,1,"LOW",52.5423728813559,5.08474576271186,62.7118644067797,46.6101694915254,83.0508474576271
"14","50006",2,1,3,1,1,3,1,3,1,1,3,1,3,4,1,"Silence",2.85714285714286,1,"LOW",52.5423728813559,5.08474576271186,62.7118644067797,46.6101694915254,83.0508474576271
"15","50006",3,1,3,1,1,3,1,3,2,1,3,1,2,4,1,"Music",2.85714285714286,1,"LOW",52.5423728813559,5.08474576271186,62.7118644067797,46.6101694915254,83.0508474576271
"16","50007",1,1,4,1,1,2,1,3,1,1,4,1,3,4,1,"Baseline",3,1,"LOW",10.1694915254237,1.69491525423729,72.0338983050847,16.9491525423729,72.8813559322034
"17","50007",2,1,4,1,1,3,1,3,1,1,3,2,3,4,1,"Silence",3,1.14285714285714,"LOW",10.1694915254237,1.69491525423729,72.0338983050847,16.9491525423729,72.8813559322034
"18","50007",3,1,3,1,1,2,1,3,1,1,3,2,3,3,1,"Music",2.57142857142857,1.14285714285714,"LOW",10.1694915254237,1.69491525423729,72.0338983050847,16.9491525423729,72.8813559322034
"19","50008",1,1,4,1,1,4,1,4,1,1,4,1,4,5,1,"Baseline",3.71428571428571,1,"HIGH",72.8813559322034,3.38983050847458,96.6101694915254,48.3050847457627,97.4576271186441
"20","50008",2,1,2,1,1,3,1,4,1,1,3,1,3,5,1,"Silence",3,1,"HIGH",72.8813559322034,3.38983050847458,96.6101694915254,48.3050847457627,97.4576271186441
"21","50008",3,1,2,1,2,3,1,3,1,1,2,1,3,5,1,"Music",2.71428571428571,1.14285714285714,"HIGH",72.8813559322034,3.38983050847458,96.6101694915254,48.3050847457627,97.4576271186441
"22","50009",1,1,2,1,1,3,1,1,1,1,2,1,2,3,1,"Baseline",2,1,"HIGH",27.9661016949153,3.38983050847458,76.271186440678,75.4237288135593,93.2203389830508
"23","50009",2,1,2,1,1,1,1,1,1,1,2,1,2,4,1,"Silence",1.85714285714286,1,"HIGH",27.9661016949153,3.38983050847458,76.271186440678,75.4237288135593,93.2203389830508
"24","50009",3,1,2,1,1,2,1,1,3,1,2,1,1,4,1,"Music",2.14285714285714,1,"HIGH",27.9661016949153,3.38983050847458,76.271186440678,75.4237288135593,93.2203389830508
"25","50011",1,1,3,1,1,3,1,4,1,1,3,2,2,4,1,"Baseline",2.85714285714286,1.14285714285714,"LOW",40.6779661016949,22.8813559322034,63.5593220338983,68.6440677966102,79.6610169491525
"26","50011",2,1,2,1,1,3,1,3,1,1,2,2,2,4,1,"Silence",2.42857142857143,1.14285714285714,"LOW",40.6779661016949,22.8813559322034,63.5593220338983,68.6440677966102,79.6610169491525
"27","50011",3,1,2,1,1,3,1,2,2,1,2,2,3,4,2,"Music",2.57142857142857,1.28571428571429,"LOW",40.6779661016949,22.8813559322034,63.5593220338983,68.6440677966102,79.6610169491525
"28","50012",1,1,5,1,1,1,1,2,1,1,5,2,3,2,1,"Baseline",2.71428571428571,1.14285714285714,"HIGH",74.1379310344828,43.1034482758621,91.3793103448276,76.7241379310345,75.8620689655173
"29","50012",2,1,4,1,1,1,1,2,1,1,5,1,2,3,1,"Silence",2.57142857142857,1,"HIGH",74.1379310344828,43.1034482758621,91.3793103448276,76.7241379310345,75.8620689655173
"30","50012",3,2,5,1,1,3,1,2,3,1,5,2,3,2,1,"Music",3.28571428571429,1.28571428571429,"HIGH",74.1379310344828,43.1034482758621,91.3793103448276,76.7241379310345,75.8620689655173
"31","50014",1,1,4,1,1,3,1,2,1,1,4,2,2,3,1,"Baseline",2.71428571428571,1.14285714285714,"LOW",10,10,99,49,99
"32","50014",2,1,3,1,1,3,1,1,1,1,3,1,1,4,1,"Silence",2.28571428571429,1,"LOW",10,10,99,49,99
"33","50014",3,1,2,1,1,1,1,1,2,1,1,1,1,5,1,"Music",1.85714285714286,1,"LOW",10,10,99,49,99
"34","50015",1,1,3,1,1,4,1,4,1,1,3,2,4,4,1,"Baseline",3.28571428571429,1.14285714285714,"HIGH",30,20,88,65,98
"35","50015",2,1,2,1,1,3,1,3,2,1,3,1,2,5,1,"Silence",2.85714285714286,1,"HIGH",30,20,88,65,98
"36","50015",3,1,3,1,1,2,1,3,3,1,3,1,2,5,1,"Music",3,1,"HIGH",30,20,88,65,98
"37","50018",1,1,3,1,1,1,1,2,1,1,3,2,2,2,1,"Baseline",2,1.14285714285714,"HIGH",33,1,89,51,97
"38","50018",2,1,2,1,1,1,1,2,1,1,2,1,2,3,1,"Silence",1.85714285714286,1,"HIGH",33,1,89,51,97
"39","50018",3,1,2,1,2,4,1,4,1,1,1,1,2,4,1,"Music",2.57142857142857,1.14285714285714,"HIGH",33,1,89,51,97
"40","50019",1,1,4,1,1,3,1,3,1,1,4,2,3,3,1,"Baseline",3,1.14285714285714,"HIGH",10,1,27,48,57
"41","50019",2,1,3,1,1,2,1,3,1,1,3,1,3,4,1,"Silence",2.71428571428571,1,"HIGH",10,1,27,48,57
"42","50019",3,1,2,1,1,2,1,2,2,1,2,1,3,3,1,"Music",2.28571428571429,1,"HIGH",10,1,27,48,57
"43","50020",1,1,2,1,1,4,1,1,1,1,3,3,1,2,1,"Baseline",2,1.28571428571429,"LOW",48,0,99,99,99
"44","50020",2,1,2,1,1,3,1,2,1,1,2,2,1,2,1,"Silence",1.85714285714286,1.14285714285714,"LOW",48,0,99,99,99
"45","50020",3,1,3,1,1,4,1,3,5,1,1,1,1,4,1,"Music",3,1,"LOW",48,0,99,99,99
"46","50021",1,1,3,1,1,3,1,2,1,1,3,1,2,4,1,"Baseline",2.57142857142857,1,"HIGH",25,3,76,55,87
"47","50021",2,1,3,1,1,3,1,2,1,1,3,2,1,3,1,"Silence",2.28571428571429,1.14285714285714,"HIGH",25,3,76,55,87
"48","50021",3,1,4,1,1,4,1,4,3,1,3,1,3,4,1,"Music",3.57142857142857,1,"HIGH",25,3,76,55,87
"49","50022",1,1,3,1,1,1,1,3,1,1,3,3,3,3,1,"Baseline",2.42857142857143,1.28571428571429,"LOW",11,1,65,28,67
"50","50022",2,1,3,1,1,1,1,3,1,1,2,2,1,3,1,"Silence",2,1.14285714285714,"LOW",11,1,65,28,67
"51","50022",3,1,2,1,1,1,1,2,1,1,2,2,2,2,1,"Music",1.71428571428571,1.14285714285714,"LOW",11,1,65,28,67
"52","50023",1,1,1,1,1,3,1,1,1,1,3,1,2,4,1,"Baseline",2.14285714285714,1,"HIGH",48,1,96,97,95
"53","50023",2,1,1,1,1,3,1,1,1,1,2,1,1,5,1,"Silence",2,1,"HIGH",48,1,96,97,95
"54","50023",3,1,1,1,1,3,1,1,3,1,1,1,1,5,1,"Music",2.14285714285714,1,"HIGH",48,1,96,97,95
"55","50024",1,1,4,2,1,3,1,2,1,1,4,4,4,2,2,"Baseline",2.85714285714286,1.71428571428571,"LOW",59,0,95,73,90
"56","50024",2,1,4,1,2,2,1,2,3,1,4,3,3,2,3,"Silence",2.85714285714286,1.71428571428571,"LOW",59,0,95,73,90
"57","50024",3,1,3,1,3,3,1,1,4,1,3,1,2,5,1,"Music",3,1.28571428571429,"LOW",59,0,95,73,90
"58","50025",1,1,4,1,1,3,1,4,1,1,5,1,4,3,1,"Baseline",3.42857142857143,1,"LOW",32,3,33,68,84
"59","50025",2,1,3,1,1,3,1,4,1,1,5,1,3,3,1,"Silence",3.14285714285714,1,"LOW",32,3,33,68,84
"60","50025",3,1,5,1,1,3,1,4,3,1,5,1,5,1,1,"Music",3.71428571428571,1,"LOW",32,3,33,68,84
"61","50028",1,1,4,1,2,4,1,2,2,1,4,2,4,3,1,"Baseline",3.28571428571429,1.28571428571429,"HIGH",69,4,77,92,94
"62","50028",2,1,2,1,2,3,1,2,2,1,2,1,2,5,1,"Silence",2.57142857142857,1.14285714285714,"HIGH",69,4,77,92,94
"63","50028",3,1,3,1,1,3,1,3,3,1,3,1,3,4,1,"Music",3.14285714285714,1,"HIGH",69,4,77,92,94
"64","50030",1,1,2,1,1,3,1,2,1,1,3,2,3,3,1,"Baseline",2.42857142857143,1.14285714285714,"LOW",89,37,63,73,99
"65","50030",2,1,2,1,1,2,1,1,1,1,2,1,2,4,1,"Silence",2,1,"LOW",89,37,63,73,99
"66","50030",3,1,1,1,3,3,1,1,3,1,1,1,1,3,2,"Music",1.85714285714286,1.42857142857143,"LOW",89,37,63,73,99
"67","50032",1,1,2,1,1,3,1,2,1,1,3,1,1,2,1,"Baseline",2,1,"LOW",29,37,48,73,62
"68","50032",2,1,2,1,1,2,1,1,1,1,2,1,1,3,1,"Silence",1.71428571428571,1,"LOW",29,37,48,73,62
"69","50032",3,2,1,1,3,2,1,1,3,2,2,1,1,2,1,"Music",1.71428571428571,1.57142857142857,"LOW",29,37,48,73,62
"70","50033",1,2,4,1,1,4,1,3,1,1,3,2,3,3,1,"Baseline",3,1.28571428571429,"LOW",13,8,31,17,32
"71","50033",2,1,3,1,1,3,1,3,1,1,3,1,2,3,1,"Silence",2.57142857142857,1,"LOW",13,8,31,17,32
"72","50033",3,1,2,1,1,2,1,2,1,1,2,1,1,2,1,"Music",1.71428571428571,1,"LOW",13,8,31,17,32
"73","50034",1,1,3,1,1,2,1,3,1,1,3,2,3,4,1,"Baseline",2.71428571428571,1.14285714285714,"HIGH",36.2068965517241,38.7931034482759,68.9655172413793,67.2413793103448,68.9655172413793
"74","50034",2,1,2,1,1,2,1,3,1,1,2,1,2,4,1,"Silence",2.28571428571429,1,"HIGH",36.2068965517241,38.7931034482759,68.9655172413793,67.2413793103448,68.9655172413793
"75","50034",3,1,2,1,2,3,1,2,2,1,2,1,2,3,1,"Music",2.28571428571429,1.14285714285714,"HIGH",36.2068965517241,38.7931034482759,68.9655172413793,67.2413793103448,68.9655172413793
"76","50035",1,1,2,1,1,4,1,3,1,1,4,2,4,4,1,"Baseline",3.14285714285714,1.14285714285714,"HIGH",99.0384615384615,77.8846153846154,65.3846153846154,96.1538461538461,70.1923076923077
"77","50035",2,1,2,1,2,2,1,2,1,1,2,1,1,5,1,"Silence",2.14285714285714,1.14285714285714,"HIGH",99.0384615384615,77.8846153846154,65.3846153846154,96.1538461538461,70.1923076923077
"78","50035",3,4,3,4,5,3,1,1,5,1,2,4,2,2,4,"Music",2.57142857142857,3.28571428571429,"HIGH",99.0384615384615,77.8846153846154,65.3846153846154,96.1538461538461,70.1923076923077
"79","50036",1,1,4,1,1,3,1,3,1,1,4,1,3,4,1,"Baseline",3.14285714285714,1,"LOW",4.80769230769231,1.92307692307692,50,5.76923076923077,76.9230769230769
"80","50036",2,1,3,1,1,2,1,2,1,1,3,1,2,5,1,"Silence",2.57142857142857,1,"LOW",4.80769230769231,1.92307692307692,50,5.76923076923077,76.9230769230769
"81","50036",3,1,2,1,1,2,1,2,1,1,2,1,2,4,1,"Music",2.14285714285714,1,"LOW",4.80769230769231,1.92307692307692,50,5.76923076923077,76.9230769230769
"82","50037",1,1,4,1,1,3,1,2,1,1,4,4,3,2,1,"Baseline",2.71428571428571,1.42857142857143,"LOW",25.8620689655172,27.5862068965517,49.1379310344828,34.4827586206897,73.2758620689655
"83","50037",2,1,3,1,1,3,1,2,1,1,3,2,2,3,1,"Silence",2.42857142857143,1.14285714285714,"LOW",25.8620689655172,27.5862068965517,49.1379310344828,34.4827586206897,73.2758620689655
"84","50037",3,1,2,1,1,3,1,2,1,1,3,1,2,3,1,"Music",2.28571428571429,1,"LOW",25.8620689655172,27.5862068965517,49.1379310344828,34.4827586206897,73.2758620689655
"85","50038",1,2,3,1,1,2,1,3,1,1,4,3,2,2,1,"Baseline",2.42857142857143,1.42857142857143,"HIGH",60.377358490566,40.5660377358491,72.6415094339623,66.0377358490566,62.2641509433962
"86","50038",2,1,2,1,1,2,1,2,1,1,2,1,1,4,1,"Silence",2,1,"HIGH",60.377358490566,40.5660377358491,72.6415094339623,66.0377358490566,62.2641509433962
"87","50038",3,1,2,1,2,2,1,1,2,1,2,1,1,3,1,"Music",1.85714285714286,1.14285714285714,"HIGH",60.377358490566,40.5660377358491,72.6415094339623,66.0377358490566,62.2641509433962
"88","50039",1,1,3,1,1,2,1,3,1,1,3,1,3,4,1,"Baseline",2.71428571428571,1,"HIGH",59.4339622641509,1.88679245283019,96.2264150943396,76.4150943396226,97.1698113207547
"89","50039",2,1,2,1,1,3,1,2,3,2,2,1,1,5,1,"Music",2.57142857142857,1.14285714285714,"HIGH",59.4339622641509,1.88679245283019,96.2264150943396,76.4150943396226,97.1698113207547
"90","50039",3,1,3,1,1,2,1,2,1,2,2,1,2,4,1,"Silence",2.28571428571429,1.14285714285714,"HIGH",59.4339622641509,1.88679245283019,96.2264150943396,76.4150943396226,97.1698113207547
"91","50040",1,1,4,1,1,2,1,1,1,1,4,3,2,3,2,"Baseline",2.42857142857143,1.42857142857143,"HIGH",35.8490566037736,23.5849056603774,85.8490566037736,29.2452830188679,82.0754716981132
"92","50040",2,1,2,1,2,1,1,1,2,1,2,3,1,5,2,"Music",2,1.57142857142857,"HIGH",35.8490566037736,23.5849056603774,85.8490566037736,29.2452830188679,82.0754716981132
"93","50040",3,1,3,1,1,1,1,2,1,2,3,3,3,3,2,"Silence",2.28571428571429,1.57142857142857,"HIGH",35.8490566037736,23.5849056603774,85.8490566037736,29.2452830188679,82.0754716981132
